Azienda,Settore,Dimensione,Livello,Contatto,Email,Tipo Contratto,Durata Contratto,Season,Commercial Value,Bonus Playoff,Net of Ticketing,Gameday Reconciliation,VB Reconciliaiton,CSR Reconciliation,Corp Tix Reconciliation,Sponsor Reconciliation,Delta,July,August,September,October,November,December,January,February,March,April,May,June
NOVELLO,Industria,Piccola,Nazionale,,,CASH,Stagione,24/25,15.000 €,2.000 €,12.520 €,968 €,,,2.480 €,-1.995 €,-10.570 €,,,,7.500 €,,7.500 €,,,,,,
NUTRITION & SANTE - ISOSTAD,Food & Beverage,Grande,Nazionale,,,CASH,Stagione,24/25,2.500 €,1.000 €,2.500 €,423 €,,,0 €,-3.840 €,-5.590 €,,,,,,,2.500 €,,,,,
NUTRITION & SANTE - ISOSTAD_CM,Food & Beverage,Grande,Nazionale,,,CM,Stagione,24/25,3.500 €,,3.500 €,0 €,,,0 €,3.500 €,3.500 €,,,,,,,,,,,,
OLYMPIA WEALTH,Finanziario/Bancario,Piccola,Internazionale,,,CASH,Stagione,24/25,2.000 €,,2.000 €,67 €,2.000 €,,0 €,-1.000 €,1.000 €,,,,,,,,20.000 €,,,,
OPENJOBMETIS,Lavoro,Grande,Nazionale,,,CASH,Stagione,24/25,510.000 €,,467.057 €,9.775 €,,,31.873 €,319.467 €,316.142 €,,,50.000 €,50.000 €,50.000 €,50.000 €,50.000 €,50.000 €,50.000 €,50.000 €,,
ORGOGLIO VARESE,Altro,Piccola,Locale,,,CASH,Stagione,24/25,20.000 €,,20.000 €,0 €,,,0 €,20.000 €,,,,,,,,,,,,,20.000 €
ORRIGONI GOMME,Commercio/GDO,Piccola,Locale,,,CM,Stagione,24/25,750 €,,418 €,5 €,,,332 €,343 €,268 €,,,,,,,,,,,,
OSSOLA,Consulenza/Libero Prof.,Piccola,Locale,,,CM,Stagione,24/25,5.000 €,,-306 €,0 €,,,5.306 €,-486 €,-486 €,,,,,,,,,,,,
PASTICCERIA MILANO,Commercio/GDO,Piccola,Locale,,,CM,Stagione,24/25,4.000 €,,4.000 €,137 €,,,0 €,1.950 €,1.100 €,,,,,,,,,,,,
PAUL & SHARK,Abbigliamento,Grande,Internazionale,,,CM,Stagione,24/25,7.500 €,,4.454 €,0 €,,,2.296 €,4.454 €,4.454 €,,,,,,,,,,,,
PREMIATA,Ho.Re.Ca.,Piccola,Locale,,,CASH,Stagione,24/25,1.000 €,,1.000 €,108 €,,,0 €,-613 €,355 €,,,,,,,1.000 €,,,,,
PUBLYTEAM,Comunicazione/Pubblicità,Piccola,Regionale,,,CASH,Stagione,24/25,5.000 €,,4.242 €,345 €,,,758 €,-933 €,-1.008 €,,,,,,5.000 €,,,,,,
